CEO,companyName,description,exchange,industry,issueType,sector,symbol,tags,website
John M. Perlowski,BlackRock Virginia Municipal Bond Trust,Blackrock Virginia Municipal Bond Trust is a perpetual closed-end municipal bond fund. Its objective is to provide current income exempt from regular Federal income taxes and Virginia personal income taxes.,New York Stock Exchange,Asset Management,cs,Financial Services,BHV,"['Financial Services', 'Asset Management']",http://www.blackrock.com
Vlad Coric,Biohaven Pharmaceutical Holding Company Ltd.,"Biohaven Pharmaceutical Holding Co Ltd is a clinical-stage biopharmaceutical company with a portfolio of innovative, late-stage product candidates targeting neurological diseases, including rare disorders.",New York Stock Exchange,Biotechnology,cs,Healthcare,BHVN,"['Healthcare', 'Biotechnology']",http://www.biohavenpharma.com
Thomas S. Smith,Sotheby's,"Sothebys is a global art business company. It conducts auctions and private sales of fine art, antiques and decorative art, jewelry, and collectibles.",New York Stock Exchange,Retail - Apparel & Specialty,cs,Consumer Cyclical,BID,"['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty']",http://www.sothebys.com
Yanhong Robin Li,Baidu Inc.,Baidu Inc is one of the world's leading Chinese-language Internet search engine. The company through its website primarily serves over 0.8 million advertisers which include small and medium-size businesses.,Nasdaq Global Select,Online Media,cs,Technology,BIDU,"['Technology', 'Internet Content & Information', 'Online Media']",http://www.ir.baidu.com
,Boulder Growth & Income Fund Inc.,Boulder Growth & Income Fund is a closed end management investment company. Its invest ment objective is to seek total return.,New York Stock Exchange,Asset Management,cs,Financial Services,BIF,"['Financial Services', 'Asset Management']",http://www.boulderfunds.net
,Big Lots Inc.,"Big Lots Inc is engaged in operating discount retail stores. It provides a broad range of merchandise, including food, consumables, soft home products, hard home products, furniture, electronics and accessories, and seasonal products.",New York Stock Exchange,Retail - Defensive,cs,Consumer Defensive,BIG,"['Consumer Defensive', 'Discount Stores', 'Retail - Defensive']",http://www.biglots.com
Michel Vounatsos,Biogen Inc.,"Biogen Inc is a biopharmaceutical company. It is engaged in discovering, developing, manufacturing and delivering therapies to patients for the treatment of neurological, rare and autoimmune diseases.",Nasdaq Global Select,Biotechnology,cs,Healthcare,BIIB,"['Healthcare', 'Biotechnology']",http://www.biogen.com
Rui Chen,Bilibili Inc.,"Bilibili Inc is a full-spectrum online entertainment company that covers a range of genres and media formats, including videos, live broadcasting and mobile games.",Nasdaq Global Select,Online Media,cs,Technology,BILI,"['Technology', 'Internet Content & Information', 'Online Media']",https://www.bilibili.com
Norman Schwartz,Bio-Rad Laboratories Inc. Class A,"Bio-Rad Laboratories Inc manufactures and supplies the life science research, healthcare, analytical chemistry and other markets with a products and systems used to separate complex chemical and biological materials.",New York Stock Exchange,Medical Diagnostics & Research,cs,Healthcare,BIO,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.bio-rad.com
Norman Schwartz,Bio-Rad Laboratories Inc. Class B,"Bio-Rad Laboratories Inc manufactures and supplies the life science research, healthcare, analytical chemistry and other markets with a products and systems used to separate complex chemical and biological materials.",New York Stock Exchange,Medical Diagnostics & Research,cs,Healthcare,BIO.B,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.bio-rad.com
Michael W. Nall,Biocept Inc.,Biocept Inc is an early commercial-stage molecular oncology diagnostics company. It develops and commercializes proprietary circulating tumor cell and circulating tumor DNA assays utilizing a standard blood sample.,NASDAQ Capital Market,Medical Diagnostics & Research,cs,Healthcare,BIOC,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.biocept.com
Todd Norbe,Biolase Inc.,"Biolase Inc is a medical device company that develops, manufactures, and markets lasers in dentistry and medicine and also markets and distributes dental imaging equipment.",NASDAQ Capital Market,Medical Instruments & Equipment,cs,Healthcare,BIOL,"['Healthcare', 'Medical Instruments & Supplies', 'Medical Instruments & Equipment']",http://www.biolase.com
Daniel Greenleaf,BioScrip Inc.,"BioScrip Inc provides home infusion & other home healthcare services to patients, physicians, hospitals, healthcare payors & pharmaceutical manufacturers to provide clinical management solutions & delivers cost-effective access to medications.",Nasdaq Global Select,Health Care Providers,cs,Healthcare,BIOS,"['Healthcare', 'Medical Care', 'Health Care Providers']",http://www.bioscrip.com
Samuel J.B. Pollock,Brookfield Infrastructure Partners LP Limited Partnership Units,"Brookfield Infrastructure Partners LP owns and operates utilities, transport and energy businesses, and freehold timberlands in North and South America, Australia, Europe, and the Asia-Pacific region.",New York Stock Exchange,Utilities - Regulated,cs,Utilities,BIP,"['Utilities', 'Utilities - Diversified', 'Utilities - Regulated']",http://www.brookfieldinfrastructure.com
John M. Perlowski,BlackRock Multi-Sector Income Trust of Beneficial Interest,"BlackRock Multi-Sector Income Trust is a closed-end investment management company. The fund's primary investment objective is to provide high level of current income, with the secondary objective is to seek the preservation of capital.",New York Stock Exchange,Asset Management,cs,Financial Services,BIT,"['Financial Services', 'Asset Management']",https://www.blackrock.com
Xuan Zhang,Bitauto Holdings Limited American Depositary Shares (each representing one),"Bitauto Holdings Ltd is a provider of internet content and marketing services. The company operates in three main segments: Advertising and subscription business, Transaction service business and Digital marketing solutions business.",New York Stock Exchange,Online Media,cs,Technology,BITA,"['Technology', 'Internet Content & Information', 'Online Media']",http://www.bitauto.com
Christopher J. Baldwin,BJ's Wholesale Club Holdings Inc.,,New York Stock Exchange,Retail - Apparel & Specialty,cs,Consumer Cyclical,BJ,"['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty']",https://www.bjs.com
Gregory A. Trojan,BJ's Restaurants Inc.,BJ's Restaurants Inc is involved in the business of owning and operating restaurants.,Nasdaq Global Select,Restaurants,cs,Consumer Cyclical,BJRI,"['Consumer Cyclical', 'Restaurants']",http://www.bjsbrewhouse.com
Charles W. Scharf,Bank of New York Mellon Corporation (The),"Bank of New York Mellon Corporation is an investment company. The company provides investment management, investment services and wealth management that help institutions and individuals succeed in markets all over the world.",New York Stock Exchange,Asset Management,cs,Financial Services,BK,"['Financial Services', 'Asset Management']",https://www.bnymellon.com
John W. Chidsey,REX BKCM,"The investment seeks to provide total return.
 The fund is an actively managed exchange-traded fund (""ETF"") that seeks to achieve its investment objective, under normal circumstances, by obtaining investment exposure to an actively managed portfolio consisting of equity securities of cryptocurrency-related and other blockchain technology-related companies. It may invest indirectly in bitcoin exclusively through investments in the Bitcoin Investment Trust (""GBTC""), a privately offered, open-end investment vehicle. The fund is non-diversified.",NYSE Arca,,cs,,BKC,[],
James E. Keenan,BlackRock Capital Investment Corporation,BlackRock Capital Investment Corporation is an investment management enterprise. Its investment objective includes generating income and capital appreciation by investing in debt and equity instruments.,Nasdaq Global Select,Asset Management,cs,Financial Services,BKCC,"['Financial Services', 'Asset Management']",http://www.blackrockbkcc.com
Lucinda M. Baier,Brookdale Senior Living Inc.,"Brookdale Senior Living Inc is a leading operator of senior living communities throughout the United States. The company along with its ancillary services program offers a range of outpatient therapy, home health, personalized living and hospice services.",New York Stock Exchange,Health Care Providers,cs,Healthcare,BKD,"['Healthcare', 'Long-Term Care Facilities', 'Health Care Providers']",http://www.brookdale.com
Dennis H. Nelson,Buckle Inc. (The),"Buckle, Inc. is a retailer of casual apparel, footwear, and accessories for fashion conscious young men and women. It operates 468 stores located in 44 states throughout the continental United States.",New York Stock Exchange,Retail - Apparel & Specialty,cs,Consumer Cyclical,BKE,"['Consumer Cyclical', 'Apparel Stores', 'Retail - Apparel & Specialty']",http://www.buckle.com
Mark A. Hurley,Blueknight Energy Partners L.P. L.L.C.,"Blueknight Energy Partners LP provides terminalling, gathering, transportation, and storage services for companies that produce, distribute, and market crude oil and liquid asphalt cement.",NASDAQ Global Market,Oil & Gas - Midstream,cs,Energy,BKEP,"['Energy', 'Oil & Gas Midstream', 'Oil & Gas - Midstream']",http://www.bkep.com
David R. Emery,Black Hills Corporation,"Black Hills Corp is a vertically-integrated energy company. The company operates in segments including regulated Electric Utilities segment, regulated Gas Utilities segment, Power Generation segment, and Mining Segment.",New York Stock Exchange,Utilities - Regulated,cs,Utilities,BKH,"['Utilities', 'Utilities - Diversified', 'Utilities - Regulated']",http://www.blackhillscorp.com
Anthony M. Jabbour,Black Knight Inc.,"Black Knight Inc is a provider of software, data and analytics solutions to the mortgage and consumer loan, real estate and capital market verticals.The company's solutions include Software Solutions and Data and Analytics Solutions.",New York Stock Exchange,Application Software,cs,Technology,BKI,"['Technology', 'Software - Infrastructure', 'Application Software']",http://www.blackknightinc.com
,Bancorp of New Jersey Inc,"Bancorp of New Jersey Inc is a bank holding company for Bank of New Jersey. It provides traditional commercial banking, accepting deposits from the general public, individuals, businesses, non-profit organizations and governmental units.",NYSE American,Banks,cs,Financial Services,BKJ,"['Financial Services', 'Savings & Cooperative Banks', 'Banks']",http://www.bonj.net
John M. Perlowski,Blackrock Municipal 2020 Term Trust,"Blackrock Municipal 2020 Term Trust is a diversified, closed-end management investment company. The Fund's investment objective is to provide total return through a combination of current income and capital appreciation.",New York Stock Exchange,Asset Management,cs,Financial Services,BKK,"['Financial Services', 'Asset Management']",https://www.blackrock.com
John M. Perlowski,BlackRock Investment Quality Municipal Trust Inc. (The),Blackrock Investment Quality Muni Tr is a diversified investment fund with the investment objective to provide high current income exempt from regular U.S. federal income tax consistent with the preservation of capital.,New York Stock Exchange,Asset Management,cs,Financial Services,BKN,"['Financial Services', 'Asset Management']",http://www.blackrock.com
Glenn Fogel,Booking Holdings Inc.,"Booking Holdings Inc is an online travel agency. The firm through its branded sites offer booking services for hotel rooms, airline tickets, rental restaurant reservations, cruises, and other vacation packages.",Nasdaq Global Select,Travel & Leisure,cs,Consumer Cyclical,BKNG,"['Consumer Cyclical', 'Leisure', 'Travel & Leisure']",http://www.bookingholdings.com
Demos Parneros,Barnes & Noble Inc.,"Barnes & Noble Inc is a bookseller, content, and a commerce company providing customers access to trade books, textbooks, magazines, newspapers and other content across its multi-channel distribution platform. Its segments are B&N Retail and NOOK.",New York Stock Exchange,Retail - Apparel & Specialty,cs,Consumer Cyclical,BKS,"['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty']",http://www.barnesandnobleinc.com
Fleetwood S. Hassell,Bank of South Carolina Corp.,"Bank of South Carolina Corp, through its subsidiary, operates as an independent, community oriented, commercial bank providing a range of financial services and products.",NASDAQ Capital Market,Banks,cs,Financial Services,BKSC,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.banksc.com
John M. Perlowski,BlackRock Income Trust Inc. (The),Blackrock Income Trust Inc is a diversified investment fund with an investment objective to manage a portfolio of high-quality securities to achieve both preservation of capital and high monthly income.,New York Stock Exchange,Asset Management,cs,Financial Services,BKT,"['Financial Services', 'Asset Management']",http://www.blackrock.com
Timothy A. Vitou,BK Technologies Inc.,"BK Technologies Inc is engaged in the designing, manufacturing and marketing wireless communications products consisting of two-way land mobile radios, repeaters, base stations, and related components.",NYSE American,Communication Equipment,cs,Technology,BKTI,"['Technology', 'Communication Equipment']",https://www.bktechnologies.com
Rajinder Singh,BankUnited Inc.,"BankUnited Inc functions in the financial sector of the United States. As a commercial banking service provider, it caters to corporate and retail clients through lending and deposit products.",New York Stock Exchange,Banks,cs,Financial Services,BKU,"['Financial Services', 'Banks - Regional - US', 'Banks']",https://www.bankunited.com
Michael W. Depasquale,BIO-key International Inc.,"BIO-key International Inc a fingerprint biometric technology company. It develops and markets advanced fingerprint biometric identification and identity verification technologies. Its products are SideSwipe, SideTouch, EcoID, Web-key, and ID director.",NASDAQ Capital Market,Consulting & Outsourcing,cs,Industrials,BKYI,"['Industrials', 'Security & Protection Services', 'Consulting & Outsourcing']",http://www.bio-key.com
Therese Tucker,BlackLine Inc.,"BlackLine Inc provides cloud-based software platform designed to transform and modernize accounting and finance operations for organizations of all types and sizes. Its products include journal entry, account reconciliations, and task management.",Nasdaq Global Select,Application Software,cs,Technology,BL,"['Technology', 'Software - Infrastructure', 'Application Software']",https://www.blackline.com
Philip Horlock,Blue Bird Corporation,Blue Bird Corp is an American bus manufacturing company. The company operates its business in two segments; Bus and Parts segment. Its primary business it to manufacture and designs school buses.,NASDAQ Global Market,Autos,cs,Consumer Cyclical,BLBD,"['Consumer Cyclical', 'Auto Manufacturers', 'Autos']",http://www.blue-bird.com
Richard A. Fair,Bellicum Pharmaceuticals Inc.,"Bellicum Pharmaceuticals Inc is a clinical-stage biopharmaceutical company. The firm is primarily engaged in the research of cellular immunotherapies for hematological cancers, solid tumors, and orphan inherited blood diseases.",NASDAQ Global Market,Biotechnology,cs,Healthcare,BLCM,"['Healthcare', 'Biotechnology']",http://www.bellicum.com
Gerald Volas,TopBuild Corp.,TopBuild Corp is an installer and distributor of insulation products to the United States construction industry.,New York Stock Exchange,Building Materials,cs,Basic Materials,BLD,"['Basic Materials', 'Building Materials']",http://www.topbuild.com
R Randall MacEwen,Ballard Power Systems Inc.,"Ballard Power Systems Inc is engaged in the design, development, manufacture, sale and service of proton exchange membrane fuel cell products for a variety of applications, focusing on commercial stage and development stage markets.",NASDAQ Global Market,Industrial Products,cs,Industrials,BLDP,"['Industrials', 'Diversified Industrials', 'Industrial Products']",http://www.ballard.com
M. Chad Crow,Builders FirstSource Inc.,Builders FirstSource Inc is a supplier and manufacturer of structural and related building products for residential new construction in the United States.,Nasdaq Global Select,Building Materials,cs,Basic Materials,BLDR,"['Basic Materials', 'Building Materials']",http://www.bldr.com
John M. Perlowski,BlackRock Municipal Income Trust II,Blackrock Municipal Income Trust II is a perpetual closed-end municipal bond fund. Its objective is to provide current income exempt from regular Federal income taxes and Maryland personal income taxes.,New York Stock Exchange,Asset Management,cs,Financial Services,BLE,"['Financial Services', 'Asset Management']",http://www.blackrock.com
Michael Rice,BioLife Solutions Inc.,"BioLife Solutions Inc manufactures proprietary and generic cGMP biopreservation media products, generic formulations of blood stem cell freezing media products, custom product formulation packaging services and contract aseptic manufacturing formulation.",NASDAQ Capital Market,Medical Instruments & Equipment,cs,Healthcare,BLFS,"['Healthcare', 'Medical Instruments & Supplies', 'Medical Instruments & Equipment']",http://www.biolifesolutions.com
Roger Kahn,Bridgeline Digital Inc.,"Bridgeline Digital Inc is a developer of web application management software and web applications to maximize the performance of critical websites, intranets, and online stores.",NASDAQ Capital Market,Application Software,cs,Technology,BLIN,"['Technology', 'Software - Application', 'Application Software']",http://www.bridgeline.com
Laurence D. Fink,BlackRock Inc.,"BlackRock Inc provides investment management services to institutional clients and to individual investors. Its products include single- and multi-asset portfolios investing in equities, fixed income, alternatives and money market instruments.",New York Stock Exchange,Asset Management,cs,Financial Services,BLK,"['Financial Services', 'Asset Management']",http://www.blackrock.com
Michael P. Gianoni,Blackbaud Inc.,"Blackbaud Inc provides cloud software, services, expertise, and data intelligence. It provides its services to nonprofits, foundations, corporations, education institutions, healthcare institutions, and the individual change agents who support them.",Nasdaq Global Select,Application Software,cs,Technology,BLKB,"['Technology', 'Software - Application', 'Application Software']",http://www.blackbaud.com
John A. Hayes,Ball Corporation,Ball Corp is the world's largest metal can manufacturer. The company primarily serves the North American food can market with its packaging products and the US defense industry by offering various components used in the space mission.,New York Stock Exchange,Packaging & Containers,cs,Consumer Cyclical,BLL,"['Consumer Cyclical', 'Packaging & Containers']",http://www.ball.com
Elizabeth A. Smith,Bloomin' Brands Inc.,"Bloomin Brands Inc operates restaurants under the brand name Outback Steakhouse, Carrabba's Italian Grill, Bonefish Grill, and Fleming's Prime Steakhouse and Wine Bar. The company has the presence in more than 18 countries.",Nasdaq Global Select,Restaurants,cs,Consumer Cyclical,BLMN,"['Consumer Cyclical', 'Restaurants']",http://www.bloominbrands.com
Robert M. Mahoney,BSB Bancorp Inc.,"BSB Bancorp Inc is a bank holding company. Its subsidiary is Massachusetts chartered savings bank. It provides financial services to individuals, families, and businesses. Its business is divided into personal banking, business banking, and lending.",NASDAQ Capital Market,Banks,cs,Financial Services,BLMT,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.belmontsavings.com
Michael Farkas,Blink Charging Co.,"Blink Charging Co is an owner, operator, and provider of electric vehicle (EV) charging services. The company offers both residential and commercial EV charging equipment, enabling EV drivers to easily recharge at various location types.",NASDAQ Capital Market,Business Services,cs,Industrials,BLNK,"['Industrials', 'Business Services']",https://www.blinkcharging.com
Fabian Tenenbaum,Bellerophon Therapeutics Inc.,Bellerophon Therapeutics Inc is a clinical-stage biotherapeutics company. It develops products that are focused on the treatment of various types of pulmonary hypertension disorder.,NASDAQ Global Market,Biotechnology,cs,Healthcare,BLPH,"['Healthcare', 'Biotechnology']",http://www.bellerophon.com
Philip Serlin,BioLineRx Ltd.,"BioLine Rx Ltd is a clinical stage biopharmaceutical development company engaged in identifying, in-licensing & developing therapeutic compounds. Its pipeline product include BL-8040, BL-9020, BL-5010, BL-1230, and AGI-134.",NASDAQ Capital Market,Biotechnology,cs,Healthcare,BLRX,"['Healthcare', 'Biotechnology']",http://www.biolinerx.com
Nick Leschly,bluebird bio Inc.,bluebird bio Inc is a clinical-stage biotechnology company which develops gene therapies for severe genetic and rare diseases and in the field of T cell-based immunotherapy.,Nasdaq Global Select,Biotechnology,cs,Healthcare,BLUE,"['Healthcare', 'Biotechnology']",http://www.bluebirdbio.com
John M. Perlowski,Blackrock Limited Duration Income Trust,Blackrock Ltd Duration Income Trust is a diversified investment fund with an investment objective to provide current income and capital appreciation.,New York Stock Exchange,Asset Management,cs,Financial Services,BLW,"['Financial Services', 'Asset Management']",http://www.blackrock.com
Gabriel Tolchinsky,Banco Latinoamericano de Comercio Exterior S.A.,"Banco Latinoamericano de Comercio Exterior SA is a supernational bank. It is principally engaged in providing trade financing to selected commercial banks, middle-market companies and corporations in the region.",New York Stock Exchange,Banks,cs,Financial Services,BLX,"['Financial Services', 'Banks - Regional - Latin America', 'Banks']",http://www.bladex.com
Gustavo Alejandro Manriquez,Banco Macro S.A. ADR (representing Ten Class B),Banco Macro SA is a commercial bank standard banking products and services. It provides its service to retail customer and small to medium-size businesses.,New York Stock Exchange,Banks,cs,Financial Services,BMA,"['Financial Services', 'Banks - Regional - Latin America', 'Banks']",http://www.macro.com.ar
David E. Flitman,BMC Stock Holdings Inc.,"BMC Stock Holdings Inc is a diversified lumber and building materials distributor and solutions provider. Its primary products are lumber and lumber sheet goods, millwork, doors, flooring, windows, structural components, among others.",Nasdaq Global Select,Building Materials,cs,Basic Materials,BMCH,"['Basic Materials', 'Building Materials']",http://www.buildwithbmc.com
John M. Perlowski,Blackrock Health Sciences Trust,"Blackrock Health Sciences Trust has an investment objective to provide total return through a combination of current income, current gains and long-term capital appreciation.",New York Stock Exchange,Asset Management,cs,Financial Services,BME,"['Financial Services', 'Asset Management']",http://www.blackrock.com
Richard A. Meeusen,Badger Meter Inc.,"Badger Meter Inc is a manufacturer and marketer of products incorporating liquid flow measurement and control technologies. It serves water utilities, municipalities and commercial and industrial customers.",New York Stock Exchange,Computer Hardware,cs,Technology,BMI,"['Technology', 'Scientific & Technical Instruments', 'Computer Hardware']",http://www.badgermeter.com
Darryl White,Bank Of Montreal,"Bank of Montreal provides diversified financial services primarily in North America. The company offers broad range of personal and commercial banking, wealth management and investment banking products and services.",New York Stock Exchange,Banks,cs,Financial Services,BMO,"['Financial Services', 'Banks - Global', 'Banks']",https://www.bmo.com
Zackary S. Irani,Biomerica Inc.,"Biomerica Inc develops, manufactures, and markets medical diagnostic products designed for the early detection and monitoring of chronic diseases and medical conditions.",NASDAQ Capital Market,Medical Instruments & Equipment,cs,Healthcare,BMRA,"['Healthcare', 'Medical Instruments & Supplies', 'Medical Instruments & Equipment']",http://www.biomerica.com
Russell A. Colombo,Bank of Marin Bancorp,"Bank of Marin Bancorp is a bank holding company. It conducts business primarily through its wholly-owned subsidiary. The Bank, provides a wide range of financial services to customers predominantly professionals, small and middle-market businesses.",NASDAQ Capital Market,Banks,cs,Financial Services,BMRC,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.bankofmarin.com
Jean-Jacques Bienaime,BioMarin Pharmaceutical Inc.,Biomarin Pharmaceutical Inc is on rare-disease therapies. It develops and commercializes pharmaceuticals for serious diseases and medical conditions.,Nasdaq Global Select,Biotechnology,cs,Healthcare,BMRN,"['Healthcare', 'Biotechnology']",http://www.bmrn.com
William F. Austen,Bemis Company Inc.,Bemis Co Inc operates in the packaging industry. The company engages in the manufacture of packaging and pressure sensitive materials. Majority of the products are sold to the food industry. The United States packaging segment generates maximum revenue.,New York Stock Exchange,Packaging & Containers,cs,Consumer Cyclical,BMS,"['Consumer Cyclical', 'Packaging & Containers']",http://www.bemis.com
Francis J. Leto,Bryn Mawr Bank Corporation,"Bryn Mawr Bank Corp, through Bryn Mawr Trust Company, offers personal and business banking services, consumer and commercial loans, equipment leasing, mortgages, insurance and wealth management services.",Nasdaq Global Select,Banks,cs,Financial Services,BMTC,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.bmtc.com
Giovanni Caforio,Bristol-Myers Squibb Company,"Bristol-Myers Squibb Co is engaged in discovery, development, licensing, manufacturing, marketing, distribution and sale of biopharmaceuticals products. The company operates in one segment that is Biopharmaceuticals.",New York Stock Exchange,Drug Manufacturers,cs,Healthcare,BMY,"['Healthcare', 'Drug Manufacturers - Major', 'Drug Manufacturers']",http://www.bms.com
Gerard P. Cuddy,Beneficial Bancorp Inc.,"Beneficial Bancorp Inc offers consumer and commercial banking services to individuals, businesses and nonprofit organizations throughout the Philadelphia and Southern New Jersey area.",Nasdaq Global Select,Banks,cs,Financial Services,BNCL,"['Financial Services', 'Banks - Regional - US', 'Banks']",https://www.thebeneficial.com
Michael P. Huseby,Barnes & Noble Education Inc,"Barnes & Noble Education, Inc. operates bookstores for college and university campuses in the United States. It also provides digital education services for enhancing the academic and social purpose of educational institutions.",New York Stock Exchange,Retail - Apparel & Specialty,cs,Consumer Cyclical,BNED,"['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty']",http://www.bned.com
Raymond A. August,Benefitfocus Inc.,"Benefitfocus Inc is a cloud-based benefits management platform for consumers, employers, insurance carriers, and brokers. The firm's solutions support core benefit plans including healthcare, dental, life, and disability insurance.",NASDAQ Global Market,Application Software,cs,Technology,BNFT,"['Technology', 'Software - Application', 'Application Software']",http://www.benefitfocus.com
Erik Holmlin,Bionano Genomics Inc.,,NASDAQ Capital Market,Medical Diagnostics & Research,cs,Healthcare,BNGO,"['Healthcare', 'Diagnostics & Research', 'Medical Diagnostics & Research']",http://www.bionanogenomics.com
,Bank Nova Scotia Halifax Pfd 3,"Bank of Nova Scotia is an international bank and a financial service provider. The company provides personal and commercial banking, wealth management and private banking, corporate and investment banking, and capital markets services.",New York Stock Exchange,Banks,cs,Financial Services,BNS,"['Financial Services', 'Banks - Global', 'Banks']",http://www.scotiabank.com
Anthony So,Bonso Electronics International Inc.,"Bonso Electronics International Inc mainly designs, develops, produces and sells electronic sensor-based and wireless products for private label original equipment manufacturers, original brand manufacturers and original design manufacturers.",NASDAQ Capital Market,Computer Hardware,cs,Technology,BNSO,"['Technology', 'Electronic Components', 'Computer Hardware']",http://www.bonso.com
Jerel A. Banks,Benitec Biopharma Limited,Benitec Biopharma Ltd is active in the healthcare domain. It has a pipeline of in-house and partnered therapeutic programs based on its patented gene-silencing technology.,NASDAQ Capital Market,Drug Manufacturers,cs,Healthcare,BNTC,"['Healthcare', 'Drug Manufacturers - Specialty & Generic', 'Drug Manufacturers']",http://www.benitec.com
John M. Perlowski,BlackRock New York Municipal Income Trust,Blackrock NY Municipal Income Tr has an investment objective to provide current income exempt from regular U.S. federal income tax and New York State and New York City personal income taxes.,New York Stock Exchange,Asset Management,cs,Financial Services,BNY,"['Financial Services', 'Asset Management']",http://www.blackrock.com
Randall S. Eslick,Bank of Commerce Holdings (CA),"Bank of Commerce Holdings Inc is a bank holding company operating for Redding Bank of Commerce. It provides a variety of financial services and products for business and consumer customers which include checking, savings and loans and advances.",NASDAQ Global Market,Banks,cs,Financial Services,BOCH,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.bankofcommerceholdings.com
John M. Perlowski,Blackrock Enhanced Global Dividend Trust of Beneficial Interest,"Blackrock Enhanced Global Dividend Trust has an investment objective to provide current income and current gains, with a secondary investment objective of long-term capital appreciation.",New York Stock Exchange,Asset Management,cs,Financial Services,BOE,"['Financial Services', 'Asset Management']",http://www.blackrock.com
Peter S. Ho,Bank of Hawaii Corporation,"Bank of Hawaii Corp is a bank holding company. It provides a range of financial services and products primarily to customers in Hawaii, Guam and other Pacific Islands.",New York Stock Exchange,Banks,cs,Financial Services,BOH,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.boh.com
James R. Kibler,Bojangles' Inc.,"Bojangles Inc is a restaurant operator and franchisor. It has company restaurants, party franchised restaurants, and independent franchised restaurants operating under the Bojangles' name.",Nasdaq Global Select,Restaurants,cs,Consumer Cyclical,BOJA,"['Consumer Cyclical', 'Restaurants']",http://www.bojangles.com
Steven G. Bradshaw,BOK Financial Corporation,"BOK Financial Corp is a financial company providing full service banking in the United States. The company through its subsidiary BOKF, NA, operates in three segments, Commercial Banking, Consumer Banking and Wealth Management services.",Nasdaq Global Select,Banks,cs,Financial Services,BOKF,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.bokf.com
Matthew R. Patterson,Audentes Therapeutics Inc.,"Audentes Therapeutics Inc is a biotechnology company. It is engaged in developing and commercializing gene therapy products for patients suffering from serious, life-threatening rare diseases caused by single gene defects.",NASDAQ Global Market,Biotechnology,cs,Healthcare,BOLD,"['Healthcare', 'Biotechnology']",http://www.audentestx.com
Adam K. Peterson / Alex B. Rozek,Boston Omaha Corporation,"Boston Omaha Corp is a public company with businesses engaged in several sectors, including advertising, insurance and real estate.",NASDAQ Capital Market,Conglomerates,cs,Industrials,BOMN,"['Industrials', 'Conglomerates']",http://www.bostonomaha.com
Kevin T. Longe,DMC Global Inc.,"DMC Global Inc operates a diversified family of technical product and process businesses serving the energy, industrial and infrastructure markets.",Nasdaq Global Select,Industrial Products,cs,Industrials,BOOM,"['Industrials', 'Metal Fabrication', 'Industrial Products']",http://www.dmcglobal.com
James G. Conroy,Boot Barn Holdings Inc.,Boot Barn Holdings Inc operates specialty retail stores that sell western and work boots and related apparel and accessories. The Company operates retail locations throughout the U.S. and sells its merchandise via the Internet.,New York Stock Exchange,Retail - Apparel & Specialty,cs,Consumer Cyclical,BOOT,"['Consumer Cyclical', 'Apparel Stores', 'Retail - Apparel & Specialty']",http://www.bootbarn.com
Jinmiao Wang,China New Borun Corporation American Depositary Shares,"China New Borun Corp is a producer and distributor of corn-based edible alcohol in the People's Republic of China. Its edible alcohol products are sold as an ingredient to producers of baijiu, a grain-based alcoholic beverage.",New York Stock Exchange,Beverages - Alcoholic,cs,Consumer Defensive,BORN,"['Consumer Defensive', 'Beverages - Wineries & Distilleries', 'Beverages - Alcoholic']",http://www.chinanewborun.com
Yuval Viner / Eyal Cohen,B.O.S. Better Online Solutions,"BOS Better Online Solutions Ltd provides radio frequency identification (RFID), mobile, and supply chain solutions in Israel and internationally. It operates through two divisions, Supply Chain Solutions; and (RFID) and Mobile Solutions.",NASDAQ Capital Market,Aerospace & Defense,cs,Industrials,BOSC,"['Industrials', 'Aerospace & Defense']",http://www.boscorporate.com
,Bank of the James Financial Group Inc.,"Bank of the James Financial Group Inc is a bank holding company which provides retail and commercial banking, deposit services, lending services and other banking services.",NASDAQ Capital Market,Banks,cs,Financial Services,BOTJ,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.bankofthejames.com
Aaron Levie,Box Inc. Class A,"Box Inc provides cloud content management platform that enables organizations to securely manage cloud content while allowing easy, secure access and sharing of content from anywhere, on any device.",New York Stock Exchange,Application Software,cs,Technology,BOX,"['Technology', 'Software - Infrastructure', 'Application Software']",https://www.box.com
